UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     15329929     RESP   1022 
     15329937     RESP   1031 
     15329945     RESP   1031 
     15329953     RESP   1022 
     15329961     RESP   1022 
     15329969     RESP   1031 
     15329977     RESP   1040 
     15329985     RESP   1049 
     15329993     RESP   1055 
     15330001     RESP   1067 
     15330009     RESP   1073 
     15330017     RESP   1085 
     15330025     RESP   1100 
     15330033     RESP   1109 
     15330041     RESP   1115 
     15330049     RESP   1115 
     15330057     RESP   1121 
     15330065     RESP   1124 
     15330073     RESP   1139 
     15330081     RESP   1151 
     15330089     RESP   1163 
     15330097     RESP   1175 
     15330105     RESP   1187 
     15330113     RESP   1196 
     15330121     RESP   1202 
     15330129     RESP   1214 
     15330137     RESP   1223 
     15330145     RESP   1235 
     15330153     RESP   1247 
     15330161     RESP   1259 
     15330169     RESP   1271 
     15330177     RESP   1280 
     15330185     RESP   1283 
     15330193     RESP   1295 
     15330201     RESP   1313 
     15330209     RESP   1337 
     15330217     RESP   1355 
     15330225     RESP   1373 
     15330233     RESP   1391 
     15330241     RESP   1391 
     15330249     RESP   1373 
     15330257     RESP   1331 
     15330265     RESP   1301 
     15330273     RESP   1277 
     15330281     RESP   1265 
     15330289     RESP   1265 
     15330297     RESP   1274 
     15330305     RESP   1286 
     15330313     RESP   1298 
     15330321     RESP   1313 
     15330329     RESP   1325 
     15330337     RESP   1331 
     15330345     RESP   1340 
     15330353     RESP   1358 
     15330361     RESP   1385 
     15330369     RESP   1406 
     15330377     RESP   1424 
     15330385     RESP   1430 
     15330393     RESP   1436 
     15330401     RESP   1439 
     15330409     RESP   1445 
     15330417     RESP   1460 
     15330425     RESP   1469 
     15330433     RESP   1481 
     15330441     RESP   1493 
     15330449     RESP   1508 
     15330457     RESP   1523 
     15330465     RESP   1538 
     15330473     RESP   1553 
     15330481     RESP   1559 
     15330489     RESP   1571 
     15330497     RESP   1580 
     15330505     RESP   1592 
     15330513     RESP   1607 
     15330521     RESP   1616 
     15330529     RESP   1628 
     15330537     RESP   1643 
     15330545     RESP   1655 
     15330553     RESP   1661 
     15330561     RESP   1670 
     15330569     RESP   1679 
     15330577     RESP   1682 
     15330585     RESP   1688 
     15330593     RESP   1700 
     15330601     RESP   1706 
     15330609     RESP   1715 
     15330617     RESP   1721 
     15330625     RESP   1727 
     15330633     RESP   1736 
     15330641     RESP   1745 
     15330649     RESP   1760 
     15330657     RESP   1775 
     15330665     RESP   1787 
     15330673     RESP   1796 
