UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     15323983     PULS   1824 
     15323985     PULS   1824 
     15323987     PULS   1824 
     15323989     PULS   1824 
     15323991     PULS   1813 
     15323993     PULS   1801 
     15323995     PULS   1777 
     15323997     PULS   1766 
     15323999     PULS   1742 
     15324001     PULS   1730 
     15324003     PULS   1707 
     15324005     PULS   1683 
     15324007     PULS   1660 
     15324009     PULS   1660 
     15324011     PULS   1648 
     15324013     PULS   1648 
     15324015     PULS   1648 
     15324017     PULS   1648 
     15324019     PULS   1648 
     15324021     PULS   1636 
     15324023     PULS   1636 
     15324025     PULS   1625 
     15324027     PULS   1613 
     15324029     PULS   1589 
     15324031     PULS   1589 
     15324033     PULS   1578 
     15324035     PULS   1589 
     15324037     PULS   1601 
     15324039     PULS   1613 
     15324041     PULS   1636 
     15324043     PULS   1636 
     15324045     PULS   1648 
     15324047     PULS   1660 
     15324049     PULS   1660 
     15324051     PULS   1660 
     15324053     PULS   1660 
     15324055     PULS   1660 
     15324057     PULS   1672 
     15324059     PULS   1672 
     15324061     PULS   1672 
     15324063     PULS   1672 
     15324065     PULS   1683 
     15324067     PULS   1672 
     15324069     PULS   1672 
     15324071     PULS   1683 
     15324073     PULS   1683 
     15324075     PULS   1695 
     15324077     PULS   1695 
     15324079     PULS   1707 
     15324081     PULS   1707 
     15324083     PULS   1707 
     15324085     PULS   1695 
     15324087     PULS   1695 
     15324089     PULS   1683 
     15324091     PULS   1683 
     15324093     PULS   1683 
     15324095     PULS   1672 
     15324097     PULS   1672 
     15324099     PULS   1672 
     15324101     PULS   1660 
     15324103     PULS   1683 
     15324105     PULS   1707 
     15324107     PULS   1719 
     15324109     PULS   1742 
     15324111     PULS   1766 
     15324113     PULS   1777 
     15324115     PULS   1801 
     15324117     PULS   1801 
     15324119     PULS   1801 
     15324121     PULS   1801 
     15324123     PULS   1801 
     15324125     PULS   1801 
     15324127     PULS   1801 
     15324129     PULS   1801 
     15324131     PULS   1813 
